date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:49	596632/596632	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%223b90e64ad4caab56a76bab72967c119f%22	https://www.judginginsanity.net/post/t	C:/My%20Web%20Sites/Judging%20Insanity/www.judginginsanity.net/post/t.22.delayed	(from https://www.judginginsanity.net/post/is-the-indivisible-movement-influencing-cyfair-isd)
12:06:50	37670/37670	---M-Z	200	added ('OK')	application/javascript	etag:W/%22cc5909144e1ea5405ceb79d2ea9647bc%22	https://static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/401.chunk.min.js	C:/My%20Web%20Sites/Judging%20Insanity/static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/401.chunk.min.js	(from https://www.judginginsanity.net/post/is-the-indivisible-movement-influencing-cyfair-isd)
12:06:50	136629/136629	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a795a32bf07e88d818e8667d59cd879b%22	https://static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/8017.chunk.min.js	C:/My%20Web%20Sites/Judging%20Insanity/static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/8017.chunk.min.js	(from https://www.judginginsanity.net/post/is-the-indivisible-movement-influencing-cyfair-isd)
12:06:50	41109/41109	---M-Z	200	added ('OK')	application/javascript	etag:W/%2216293bf0967bbea27423bcc5e4096031%22	https://static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/8409.chunk.min.js	C:/My%20Web%20Sites/Judging%20Insanity/static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/8409.chunk.min.js	(from https://www.judginginsanity.net/post/is-the-indivisible-movement-influencing-cyfair-isd)
12:06:51	77060/77060	---M-Z	200	added ('OK')	application/javascript	etag:W/%22d0e1e3b7c56dd4d73d12cd7aed63a7b8%22	https://static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/9354.chunk.min.js	C:/My%20Web%20Sites/Judging%20Insanity/static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/9354.chunk.min.js	(from https://www.judginginsanity.net/post/is-the-indivisible-movement-influencing-cyfair-isd)
12:06:51	23091/23091	---M-Z	200	added ('OK')	application/javascript	etag:W/%2215841d4c6454d5616867353339aba5cc%22	https://static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/8455.chunk.min.js	C:/My%20Web%20Sites/Judging%20Insanity/static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/8455.chunk.min.js	(from https://www.judginginsanity.net/post/is-the-indivisible-movement-influencing-cyfair-isd)
12:06:52	102698/102698	---M-Z	200	added ('OK')	application/javascript	etag:W/%229dd31f284e7c07c115c13370989b4036%22	https://static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/5482.chunk.min.js	C:/My%20Web%20Sites/Judging%20Insanity/static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/5482.chunk.min.js	(from https://www.judginginsanity.net/post/is-the-indivisible-movement-influencing-cyfair-isd)
12:06:52	10428/10428	---M-Z	200	added ('OK')	application/javascript	etag:W/%229d792dcdf76cdc0dc290a5f65cc0ffd8%22	https://static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/5760.chunk.min.js	C:/My%20Web%20Sites/Judging%20Insanity/static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/5760.chunk.min.js	(from https://www.judginginsanity.net/post/is-the-indivisible-movement-influencing-cyfair-isd)
12:06:52	11714/11714	---M-Z	200	added ('OK')	application/javascript	etag:W/%2290de2623ebcd0ef8600b9edc9dd4e3e0%22	https://static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/rich-content-viewer.chunk.min.js	C:/My%20Web%20Sites/Judging%20Insanity/static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/rich-content-viewer.chunk.min.js	(from https://www.judginginsanity.net/post/is-the-indivisible-movement-influencing-cyfair-isd)
12:06:53	3629/3629	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c358f283b3841b02988dfe025f834736%22	https://static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/ricos_plugin_divider.chunk.min.js	C:/My%20Web%20Sites/Judging%20Insanity/static.parastorage.com/services/communities-blog-ooi/1.1884.0/client-viewer/ricos_plugin_divider.chunk.min.js	(from https://www.judginginsanity.net/post/is-the-indivisible-movement-influencing-cyfair-isd)
